title,id,language,ontologyId,resultType,address,position,access,distance,categories,references,foodTypes,contacts,openingHours
Phteahbay Khun Mea,here:pds:place:116w63gg-41a3c4fd5a004acf86f80b73b1c61d8b,en,here:cm:ontology:restaurant,place,"{'label': 'Phteahbay Khun Mea, វិថី សាលាកម្រើក, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'វិថី សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.34151, 'lng': 103.86318}","[{'lat': 13.34159, 'lng': 103.86329}]",1187,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}]",,,"[{'phone': [{'value': '+85569712121'}], 'www': [{'value': 'https://phteahbaykhunmea.com'}]}]",
Polo Food,here:pds:place:116w63gg-03ea4c08da2f6cf31c91df0594f375ba,en,here:cm:ontology:restaurant,place,"{'label': 'Polo Food, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.34528, 'lng': 103.85432}","[{'lat': 13.34526, 'lng': 103.85418}]",1203,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '23817459'}]","[{'id': '800-057', 'name': 'Pizza', 'primary': True}, {'id': '200-000', 'name': 'Asian'}, {'id': '256-000', 'name': 'Cambodian'}, {'id': '304-000', 'name': 'Italian'}, {'id': '800-056', 'name': 'Steak House'}]","[{'phone': [{'value': '+85593424399'}], 'www': [{'value': 'http://www.facebook.com/polofoods'}]}]","[{'text': ['Mon-Sun: 11:00 - 22:30'], 'isOpen': True, 'structured': [{'start': 'T110000', 'duration': 'PT11H30M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]"
La Provence Siem Reap,here:pds:place:116w63gg-2070375cf7356f8eab7c676f1db3612a,en,here:cm:ontology:restaurant,place,"{'label': 'La Provence Siem Reap, វិថី សាលាកម្រើក, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'វិថី សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.34002, 'lng': 103.86456}","[{'lat': 13.34005, 'lng': 103.8646}]",1211,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '26105963'}]","[{'id': '205-000', 'name': 'Thai', 'primary': True}, {'id': '301-000', 'name': 'French'}]",[{'phone': [{'value': '+85569554378'}]}],
Maitri Restaurant,here:pds:place:116w63gg-d548ba54e9714299b77e3b7dd261053d,en,here:cm:ontology:restaurant,place,"{'label': 'Maitri Restaurant, វិថី សាលាកម្រើក, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'វិថី សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.33948, 'lng': 103.8649}","[{'lat': 13.33957, 'lng': 103.86501}]",1215,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '13353412'}]","[{'id': '101-002', 'name': 'American - Southwestern', 'primary': True}, {'id': '200-000', 'name': 'Asian'}, {'id': '256-000', 'name': 'Cambodian'}, {'id': '300-000', 'name': 'European'}]","[{'phone': [{'value': '+85598896655'}], 'www': [{'value': 'https://mettaresidence.com/dinings/maitri-restaurant'}]}]","[{'text': ['Mon-Sun: 10:00 - 23:00'], 'isOpen': True, 'structured': [{'start': 'T100000', 'duration': 'PT13H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]"
Meeting Place,here:pds:place:116w63gg-24f031add4ce4deb8fb97137d8f92529,en,here:cm:ontology:restaurant,place,"{'label': 'Meeting Place, វិថី សាលាកម្រើក, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'វិថី សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.34223, 'lng': 103.86295}","[{'lat': 13.34215, 'lng': 103.86284}]",1224,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '12186413'}]","[{'id': '200-000', 'name': 'Asian', 'primary': True}, {'id': '205-000', 'name': 'Thai'}, {'id': '256-000', 'name': 'Cambodian'}, {'id': '800-064', 'name': 'International'}]","[{'phone': [{'value': '+85595777365'}], 'www': [{'value': 'http://www.facebook.com/themeetingplaceofsiemreap'}]}]",
Krousar Cafe,here:pds:place:116w63gg-f52e022313c145bea77e77c877a011ec,en,here:cm:ontology:restaurant,place,"{'label': 'Krousar Cafe, វិថី សាលាកម្រើក, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'វិថី សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.34356, 'lng': 103.86169}","[{'lat': 13.34356, 'lng': 103.86168}]",1247,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}, {'id': '100-1100-0010', 'name': 'Coffee Shop'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '18844588'}]","[{'id': '200-000', 'name': 'Asian', 'primary': True}, {'id': '256-000', 'name': 'Cambodian'}, {'id': '304-000', 'name': 'Italian'}, {'id': '800-083', 'name': 'Natural/Healthy'}]","[{'phone': [{'value': '+855968525097'}], 'www': [{'value': 'http://www.facebook.com/krousarcafe'}]}]","[{'text': ['Mon-Sun: 07:00 - 22:00'], 'isOpen': True, 'structured': [{'start': 'T070000', 'duration': 'PT15H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]"
Rana's Crispy Pork,here:pds:place:116w63gg-cf7f60ec0075caa355d746283a3401f0,en,here:cm:ontology:restaurant,place,"{'label': ""Rana's Crispy Pork, វិថី សាលាកម្រើក, 171204 សៀមរាប, កម្ពុជា"", 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'វិថី សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.34361, 'lng': 103.86172}","[{'lat': 13.34356, 'lng': 103.86168}]",1254,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '24189399'}]","[{'id': '200-000', 'name': 'Asian', 'primary': True}, {'id': '212-000', 'name': 'Filipino'}]",[{'phone': [{'value': '+85511576001'}]}],"[{'text': ['Tue-Sun: 15:00 - 22:00'], 'isOpen': False, 'structured': [{'start': 'T150000', 'duration': 'PT07H00M', 'recurrence': 'FREQ:DAILY;BYDAY:TU,WE,TH,FR,SA,SU'}]}]"
Romsai Cafe & Bar,here:pds:place:116w63gg-3de8d6cb96194fada3edb284e1c27d09,en,here:cm:ontology:restaurant,place,"{'label': 'Romsai Cafe & Bar, វិថី សាលាកម្រើក, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'វិថី សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.34365, 'lng': 103.86178}","[{'lat': 13.34356, 'lng': 103.86168}]",1261,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '20110534'}]","[{'id': '200-000', 'name': 'Asian', 'primary': True}, {'id': '101-000', 'name': 'American'}, {'id': '256-000', 'name': 'Cambodian'}]","[{'phone': [{'value': '+85578481100'}], 'www': [{'value': 'https://www.facebook.com/Romsai-Cafe-Bar-102077094548142'}]}]",
Suorkear Dining & Pool Bar,here:pds:place:116w63gg-d2b3f191eb4a479eabf686a58006c9e4,en,here:cm:ontology:restaurant,place,"{'label': 'Suorkear Dining & Pool Bar, វិថី សាលាកម្រើក, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'វិថី សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.3373, 'lng': 103.86663}","[{'lat': 13.33739, 'lng': 103.86673}]",1305,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '13119580'}]","[{'id': '101-002', 'name': 'American - Southwestern', 'primary': True}, {'id': '200-000', 'name': 'Asian'}, {'id': '256-000', 'name': 'Cambodian'}, {'id': '300-000', 'name': 'European'}, {'id': '304-000', 'name': 'Italian'}]",[{'phone': [{'value': '+85563765303'}]}],"[{'text': ['Mon-Sun: 06:00 - 23:00'], 'isOpen': True, 'structured': [{'start': 'T060000', 'duration': 'PT17H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]"
The Stage 1960s,here:pds:place:116w63gg-932c424ed15d416ab0018e0200d3260b,en,here:cm:ontology:restaurant,place,"{'label': 'The Stage 1960s, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.34201, 'lng': 103.84556}","[{'lat': 13.34194, 'lng': 103.84568}]",1314,"[{'id': '100-1000-0001', 'name': 'Casual Dining', 'primary': True}, {'id': '100-1000-0000', 'name': 'Restaurant'}, {'id': '200-2000-0368', 'name': 'Cocktail Lounge'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '14985639'}]","[{'id': '800-083', 'name': 'Natural/Healthy', 'primary': True}, {'id': '200-000', 'name': 'Asian'}, {'id': '256-000', 'name': 'Cambodian'}, {'id': '301-000', 'name': 'French'}, {'id': '800-056', 'name': 'Steak House'}, {'id': '800-078', 'name': 'Grill'}]","[{'phone': [{'value': '+85569261888'}, {'value': '+85569271888'}], 'www': [{'value': 'http://www.thestage1960s.com'}]}]","[{'categories': [{'id': '100-1000-0000'}, {'id': '100-1000-0001'}], 'text': ['Mon-Sat: 18:00 - 22:30', 'Sun: 09:00 - 22:30'], 'isOpen': False, 'structured': [{'start': 'T180000', 'duration': 'PT04H30M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA'}, {'start': 'T090000', 'duration': 'PT13H30M', 'recurrence': 'FREQ:DAILY;BYDAY:SU'}]}]"
Green Hill Restaurant,here:pds:place:116w63gg-b9b29671b1084001bec4b8dd7fee1fe6,en,here:cm:ontology:restaurant,place,"{'label': 'Green Hill Restaurant, វិថី សាលាកម្រើក, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'វិថី សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.34514, 'lng': 103.86064}","[{'lat': 13.34521, 'lng': 103.86075}]",1337,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '11947055'}]","[{'id': '800-064', 'name': 'International', 'primary': True}, {'id': '200-000', 'name': 'Asian'}, {'id': '256-000', 'name': 'Cambodian'}, {'id': '800-078', 'name': 'Grill'}]","[{'phone': [{'value': '+85563966699'}], 'www': [{'value': 'http://www.hillockshotel.com'}]}]","[{'text': ['Mon-Sun: 06:30 - 23:00'], 'isOpen': True, 'structured': [{'start': 'T063000', 'duration': 'PT16H30M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]"
The Khmer House -Secret Oasis,here:pds:place:116w63gg-a3a506a65c244985924a7972774c47bf,en,here:cm:ontology:restaurant,place,"{'label': 'The Khmer House -Secret Oasis, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.34039, 'lng': 103.86599}","[{'lat': 13.3404, 'lng': 103.86585}]",1366,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '19690167'}]","[{'id': '200-000', 'name': 'Asian', 'primary': True}, {'id': '203-000', 'name': 'Japanese'}, {'id': '256-000', 'name': 'Cambodian'}, {'id': '800-080', 'name': 'Soup'}]","[{'phone': [{'value': '+855886674104'}], 'www': [{'value': 'https://www.facebook.com/khmer.house.resort'}]}]",
The Green Star Restaurant,here:pds:place:116w63gf-1108738d0e9842728fdf8e9952b3045f,en,here:cm:ontology:restaurant,place,"{'label': 'The Green Star Restaurant, ផ្លូវខេត្ត 2632, 171209 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សៀមរាប', 'street': 'ផ្លូវខេត្ត 2632', 'postalCode': '171209'}","{'lat': 13.33187, 'lng': 103.84254}","[{'lat': 13.33203, 'lng': 103.84216}]",1371,"[{'id': '100-1000-0001', 'name': 'Casual Dining', 'primary': True}]",,,"[{'phone': [{'value': '+85569390388'}], 'www': [{'value': 'http://thegreenoasis.com'}]}]",
Wine O'Clock - Cafe & Deli Bar - 24hours,here:pds:place:116w63gg-5e9becb03ba640039677223938ae1f3e,en,here:cm:ontology:restaurant,place,"{'label': ""Wine O'Clock - Cafe & Deli Bar - 24hours, វិថី សាលាកម្រើក, 171204 សៀមរាប, កម្ពុជា"", 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'វិថី សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.34594, 'lng': 103.86021}","[{'lat': 13.34599, 'lng': 103.86029}]",1397,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}, {'id': '100-1100-0010', 'name': 'Coffee Shop'}, {'id': '200-2000-0011', 'name': 'Bar or Pub'}]",,,[{'phone': [{'value': '+855966669440'}]}],
Khmer Bites,here:pds:place:116w63gg-6416bd443095473ebc904ecf500ab9fc,en,here:cm:ontology:restaurant,place,"{'label': 'Khmer Bites, វិថី សាលាកម្រើក, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'វិថី សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.34619, 'lng': 103.86001}","[{'lat': 13.34626, 'lng': 103.86013}]",1414,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '17532128'}]","[{'id': '800-083', 'name': 'Natural/Healthy', 'primary': True}, {'id': '200-000', 'name': 'Asian'}, {'id': '201-000', 'name': 'Chinese'}, {'id': '256-000', 'name': 'Cambodian'}, {'id': '304-000', 'name': 'Italian'}, {'id': '800-080', 'name': 'Soup'}]","[{'phone': [{'value': '+855966669440'}], 'www': [{'value': 'http://www.facebook.com/KhmerBites'}]}]","[{'text': ['Mon-Sun: 10:00 - 22:00'], 'isOpen': True, 'structured': [{'start': 'T100000', 'duration': 'PT12H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]"
Villa Nissa Hotel & Resort,here:pds:place:116aabd1-2f58204e6ab402c21078e756de4cd8f9,en,here:cm:ontology:hotel,place,"{'label': 'Villa Nissa Hotel & Resort, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.33852, 'lng': 103.85177}","[{'lat': 13.3385, 'lng': 103.85163}]",564,"[{'id': '500-5000-0053', 'name': 'Hotel', 'primary': True}, {'id': '500-5100-0000', 'name': 'Lodging'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '8871131'}]",,[{'phone': [{'value': '+85512309659'}]}],
Bunwin Residence,here:pds:place:116w63gg-d19e525c7d03417d95faef669cb79c10,en,here:cm:ontology:hotel,place,"{'label': 'Bunwin Residence, 171209 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សៀមរាប', 'postalCode': '171209'}","{'lat': 13.32977, 'lng': 103.85297}","[{'lat': 13.32976, 'lng': 103.85311}]",565,"[{'id': '500-5000-0053', 'name': 'Hotel', 'primary': True}, {'id': '100-1000-0000', 'name': 'Restaurant'}, {'id': '500-5100-0000', 'name': 'Lodging'}, {'id': '700-7200-0253', 'name': 'Catering & Other Food Services'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '5494765'}]",,"[{'phone': [{'value': '+85512346644'}], 'www': [{'value': 'https://www.facebook.com/bunwinresidencekh', 'categories': [{'id': '500-5000-0053'}]}]}]",
Sala Bai Hotel School,here:pds:place:116aabd1-f1c89770a0e2086b14ea388dae8852bc,en,here:cm:ontology:hotel,place,"{'label': 'Sala Bai Hotel School, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.33955, 'lng': 103.85243}","[{'lat': 13.33961, 'lng': 103.85231}]",625,"[{'id': '500-5000-0053', 'name': 'Hotel', 'primary': True}, {'id': '100-1000-0000', 'name': 'Restaurant'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '671778'}]",,"[{'phone': [{'value': '+85589590864'}, {'value': '+855962852014'}], 'www': [{'value': 'http://www.salabai.com'}, {'value': 'http://www.salabai.com/en/hotel', 'categories': [{'id': '500-5000-0053'}]}]}]",
Koki Tree,here:pds:place:116w63gg-7ec90ce250944c20bed36a6d79566424,en,here:cm:ontology:hotel,place,"{'label': 'Koki Tree, ផ្លូវជាតិ 63, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'ផ្លូវជាតិ 63', 'postalCode': '171204'}","{'lat': 13.33949, 'lng': 103.85147}","[{'lat': 13.33939, 'lng': 103.85157}]",671,"[{'id': '500-5000-0053', 'name': 'Hotel', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '17551062'}]",,"[{'phone': [{'value': '+855977561000'}], 'www': [{'value': 'https://koki-tree.business.site/?utm_source=gmb&utm_medium=referral'}]}]",
Reflection Villa,here:pds:place:116w63gg-f8e32dbead004304be109937bc5d5964,en,here:cm:ontology:hotel,place,"{'label': 'Reflection Villa, 171209 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សៀមរាប', 'postalCode': '171209'}","{'lat': 13.32928, 'lng': 103.85005}","[{'lat': 13.32928, 'lng': 103.85019}]",782,"[{'id': '500-5000-0053', 'name': 'Hotel', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '12638695'}]",,,
Le Chanthou Boutique,here:pds:place:116w63gg-761d1f150ffaa9d28afaf5f816bb0fe2,en,here:cm:ontology:hotel,place,"{'label': 'Le Chanthou Boutique, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.34096, 'lng': 103.85825}","[{'lat': 13.34093, 'lng': 103.85838}]",806,"[{'id': '500-5000-0053', 'name': 'Hotel', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '11924637'}]",,"[{'phone': [{'value': '+85587992992'}], 'www': [{'value': 'http://www.lechanthou.com'}]}]",
Paris Angkor Hotel & Paris Angkor Boutique,here:pds:place:116w63gg-f310a97431f04446bd8a07f04509528d,en,here:cm:ontology:hotel,place,"{'label': 'Paris Angkor Hotel & Paris Angkor Boutique, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.33907, 'lng': 103.84908}","[{'lat': 13.33919, 'lng': 103.84914}]",812,"[{'id': '500-5000-0053', 'name': 'Hotel', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '2177677'}]",,"[{'phone': [{'value': '+85563969679'}], 'www': [{'value': 'http://www.parisangkorhotel.com'}]}]",
Tanei Siem Reap Villa,here:pds:place:116w63gg-8829f6a58f074fa3a6b7a8a1a66a33e1,en,here:cm:ontology:hotel,place,"{'label': 'Tanei Siem Reap Villa, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.34001, 'lng': 103.86014}","[{'lat': 13.34002, 'lng': 103.86028}]",835,"[{'id': '500-5000-0053', 'name': 'Hotel', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '1474956'}]",,,
Nature Boutiques,here:pds:place:116httek-0210d9bc62850f86f374a5b6fbc22c40,en,here:cm:ontology:hotel,place,"{'label': 'Nature Boutiques, 171209 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សៀមរាប', 'postalCode': '171209'}","{'lat': 13.33063, 'lng': 103.84782}","[{'lat': 13.3305, 'lng': 103.84783}]",879,"[{'id': '500-5000-0053', 'name': 'Hotel', 'primary': True}, {'id': '200-2000-0000', 'name': 'Nightlife-Entertainment'}, {'id': '500-5100-0000', 'name': 'Lodging'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '7088798'}]",,[{'phone': [{'value': '+85592689109'}]}],
Channa Home Stay,here:pds:place:116w63gg-d4b4486ef28c413aa210b32d99a44374,en,here:cm:ontology:hotel,place,"{'label': 'Channa Home Stay, ផ្លូវជាតិ 63, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'ផ្លូវជាតិ 63', 'postalCode': '171204'}","{'lat': 13.34226, 'lng': 103.85281}","[{'lat': 13.34229, 'lng': 103.85267}]",895,"[{'id': '500-5000-0053', 'name': 'Hotel', 'primary': True}]",,,"[{'phone': [{'value': '+85512335043'}], 'www': [{'value': 'http://channahome.com'}]}]",
Angkor Sorika Villa,here:pds:place:116w63gg-9b96be2cd7cb48d993b795e735cbe4fa,en,here:cm:ontology:hotel,place,"{'label': 'Angkor Sorika Villa, 171209 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សៀមរាប', 'postalCode': '171209'}","{'lat': 13.32853, 'lng': 103.8491}","[{'lat': 13.3284, 'lng': 103.84911}]",913,"[{'id': '500-5000-0053', 'name': 'Hotel', 'primary': True}, {'id': '500-5100-0000', 'name': 'Lodging'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '10067973'}]",,"[{'phone': [{'value': '+85512930682'}, {'value': '+85581262636'}]}]",
Dengba Hostel,here:pds:place:116w63gg-5c167daeb3bd4673a3e06fa9596bb46b,en,here:cm:ontology:hotel,place,"{'label': 'Dengba Hostel, ផ្លូវជាតិ 63, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'ផ្លូវជាតិ 63', 'postalCode': '171204'}","{'lat': 13.34289, 'lng': 103.85275}","[{'lat': 13.34283, 'lng': 103.85287}]",964,"[{'id': '500-5000-0053', 'name': 'Hotel', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '10198049'}]",,[{'phone': [{'value': '+85598841860'}]}],
Eightfold Urban Resort,here:pds:place:116w63gg-dcd9c8a7f111803ec67cb54a58721c10,en,here:cm:ontology:hotel,place,"{'label': 'Eightfold Urban Resort, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.34205, 'lng': 103.86038}","[{'lat': 13.34218, 'lng': 103.86039}]",1028,"[{'id': '500-5000-0053', 'name': 'Hotel', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '25173268'}]",,"[{'phone': [{'value': '+85592878282'}], 'www': [{'value': 'https://eightfoldurbanresort.com'}]}]",
Sokvinna Garden Villa,here:pds:place:116w63gg-25d18a1365fc4006ab5b09d2c938202e,en,here:cm:ontology:hotel,place,"{'label': 'Sokvinna Garden Villa, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.33803, 'lng': 103.86402}","[{'lat': 13.33813, 'lng': 103.86404}]",1061,"[{'id': '500-5000-0000', 'name': 'Hotel/Motel', 'primary': True}, {'id': '500-5000-0053', 'name': 'Hotel'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '20950193'}]",,"[{'phone': [{'value': '+85512320476'}, {'value': '+85570875588', 'categories': [{'id': '500-5000-0053'}]}]}]",
Eocambo Villa,here:pds:place:116w63gg-f077a37f248d4ee7bcc3d54453773ed9,en,here:cm:ontology:hotel,place,"{'label': 'Eocambo Villa, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.33618, 'lng': 103.86475}","[{'lat': 13.3359, 'lng': 103.86431}]",1080,"[{'id': '500-5000-0053', 'name': 'Hotel', 'primary': True}, {'id': '500-5100-0000', 'name': 'Lodging'}]",,,"[{'phone': [{'value': '+85570379905'}], 'www': [{'value': 'http://www.eocambovilla.com'}]}]",
